Unnamed: 0,inst_id,time,cpu_usage,bins,partition
100,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,40,429.33139206096376,A,A1
101,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,41,429.5324691310119,A,A1
102,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,42,428.424482926366,A,A1
103,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,43,429.1764933262288,A,A1
104,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,44,428.3491661685344,A,A1
105,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,45,429.24890251098265,A,A1
106,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,46,428.468291895858,A,A1
107,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,47,428.929725075751,A,A1
108,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,48,429.235017696806,A,A1
109,dbf6aef883f9a74a8ef7f4f0d36649fc194abaf1c927db0dd9b64ab295e2,49,428.3379456876632,A,A1
149,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,29,428.2974364467562,A,A1
150,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,30,428.3185342890456,A,A1
151,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,31,427.8011740345671,A,A1
152,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,32,467.9518537149565,A,A1
153,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,33,467.8790641031808,A,A1
154,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,34,467.9789339881804,A,A1
155,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,35,467.8483554879296,A,A1
156,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,36,468.0094710213306,A,A1
157,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,37,467.4434877673448,A,A1
158,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,38,427.7494498256517,A,A1
159,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,39,428.5422896482707,A,A1
160,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,40,428.3285581165359,A,A1
161,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,41,427.7127079769469,A,A1
162,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,42,428.08510424063553,A,A1
163,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,43,427.9874661747341,A,A1
164,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,44,427.77781195208354,A,A1
165,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,45,428.4989729591426,A,A1
166,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,46,428.7002027980043,A,A1
167,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,47,428.5437878010611,A,A1
168,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,48,428.5585286557882,A,A1
169,9012e2f9ecc0a2594d2adc63a64a6b03ba1152113926f01b831236db5e8f,49,428.2453446844845,A,A1
209,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,29,427.3053267642095,A,A1
210,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,30,426.8860580392202,A,A1
211,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,31,427.0915332143323,A,A1
212,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,32,466.737772495768,A,A1
213,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,33,467.1279086110683,A,A1
214,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,34,467.339295767345,A,A1
215,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,35,467.1278173804921,A,A1
216,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,36,466.7183319961901,A,A1
217,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,37,411.41359894920464,A,A1
218,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,38,427.1450238676987,A,A1
219,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,39,427.2866065851312,A,A1
220,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,40,427.7571244510392,A,A1
221,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,41,427.1731210806626,A,A1
222,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,42,427.47449512714206,A,A1
223,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,43,427.38098891517416,A,A1
224,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,44,426.994662518238,A,A1
225,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,45,427.02927551550033,A,A1
226,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,46,426.6277088972535,A,A1
227,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,47,428.09161595843074,A,A1
228,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,48,427.39530625397504,A,A1
229,c52aa96aac5c0c6285f6bfae581354f703236471250d2d254a9f86102767,49,428.2251948224557,A,A1
269,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,29,426.1671802029125,A,A1
270,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,30,426.2110495099072,A,A1
271,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,31,426.0315402507935,A,A1
272,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,32,466.5528281258377,A,A1
273,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,33,466.0445411401005,A,A1
274,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,34,466.369040850308,A,A1
275,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,35,466.7447848187206,A,A1
276,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,36,466.5090310934551,A,A1
277,6b1d30879d310f29c54523ed557aac362e46788203091437604c7d867dbb,37,467.0280822436195,A,A1
