,worker_name,machine,start_time,end_time,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu
7499,cea1d2c7f0a79d40d9d2c3e0eee97267bb1e30010147ea79f1e7b5e1e8ef,e7b3f000e98a235fa417f069,2149558,2163226,,,,,,,,
7554,57f7affceea433329441653bc794cd756d3391964a41d5d0bbc1ba1e7087,e7b3f000e98a235fa417f069,2135616,2136591,,,,,,,,
7627,01f96ed3456b5602cac6e60cc12c6ecab4eb9b27aa5ecf26c1fe934d59f8,e7b3f000e98a235fa417f069,2124621,2145692,,,,,,,,
7628,87fbebad163201208b250ff7be82c778f28e4e15e955e481243285c3cc93,e7b3f000e98a235fa417f069,2126556,2142927,,,,,,,,
7629,f198c446efea8680153410d1c779d36e2ac3bcbb2892835fe01f72d77563,e7b3f000e98a235fa417f069,2134051,2137278,,,,,,,,
7630,e7f38a0d7967a2183f89ec02dcef3997d893a5af9ccb80ba82fbfe5b102f,e7b3f000e98a235fa417f069,2152400,2153691,,,,,,,,
7849,a3e1524c407d23e104fae5ad643f00f8577ca0d21973be5c5a119ac01bb9,e7b3f000e98a235fa417f069,2148895,2149089,,,,,,,,
7896,b34c01da7ee71ed86d2ac8c4ebc15f1329b86f6f2409a3fbe2d11fa44148,e7b3f000e98a235fa417f069,2147359,2147574,,,,,,,,
7897,670c8ad7fb4e5a1a20596f9ece60732af680b0204beafff3bdcae2be071b,e7b3f000e98a235fa417f069,2151647,2152651,,,,,,,,
7898,5b0234bd9e235856e4c5cc6d87075c268f7a0f6fffb4770778c714bdc1c7,e7b3f000e98a235fa417f069,2153013,2153526,,,,,,,,
7899,14d8de4682e4fb25ecd76e1426617220f2538c0999150ad22ff97d73fc99,e7b3f000e98a235fa417f069,2157814,2158027,,,,,,,,
8187,687f46313916eae0fc55868efd99215480b0d071783b4a21f4117fd906e1,e7b3f000e98a235fa417f069,2127348,2137684,,,,,,,,
8188,e298a49218011000cbb716cbaf33b6d83f088c0105b8d3b6e0eb959e06f2,e7b3f000e98a235fa417f069,2133992,2135119,,,,,,,,
8189,0868f494459294f7d1ec7980122bcd81955560cfc20cb2f6ce01ccbcb0a7,e7b3f000e98a235fa417f069,2137432,2141273,,,,,,,,
8190,2a7aae2426089afde432a6e44f0fdf2f8e8a8bdc4dc8010e90c67537847e,e7b3f000e98a235fa417f069,2137831,2141617,,,,,,,,
8312,2a79385feb8f8a5abecc27750108cef9e71ab5fa60f130abd41aba042d9d,e7b3f000e98a235fa417f069,2136867,2146511,,,,,,,,
8313,06e1a9dd40025c7e06ecc2d7621158b4175f5bec7160ffa12ba21cb7ffe3,e7b3f000e98a235fa417f069,2144442,2218443,,,,,,,,
8314,fd6f50407e9984181f42125fb1ede000fd5450bcc04cae8e01d70021cfc2,e7b3f000e98a235fa417f069,2150441,2152152,,,,,,,,
8410,c1a538a38775277d768a232734b36dc19c302567194b57ace37fe190e2d6,e7b3f000e98a235fa417f069,2132748,2132760,,,,,,,,
11505,1b9edc5840a78136b769fb1d5fb5ee443b88d42f4835d1c7e53aa85c9e3e,905f98d511a6d16771b596d7,2138133,2144296,,,,,,,,
