GPU_Usage,AVG_Memory,Machine_Load,Network_Load,inst_id
10,30,30,10,49b78738c31917e2b63ab421f699809f1712d1170e31ca97495d44cc0267
10,30,30,20,18d33cfb3f8b723ebc1e5405486cffe79455d3138fe167bf43ae743e5681
10,30,30,20,1495d0c5c86d2345e16218ee8694cf5e4d14a2e73343f557110641138781
10,30,30,20,f9a1ad31f4c933581c58703be0f4bb7f3fd81f73ebc8b9e878592632daf3
10,30,30,20,9cb8178a0a32ad61a18cbb166fc77227e17b175342ea790000a11f9c157b
10,30,30,20,351ab78fce6fb1ada4284ee8c942057ac34bb70f2bbfb66989c168c578d7
10,30,30,20,039e44729f170c2a566c3e80e3660f55b3ed0f23430637b5ce5505409e9d
10,30,30,10,ff93b03317761a9fe9db2afe4f97e9d85f0d2a968083df0ae79e593ee1f1
10,30,30,20,ad4ecf0b4d81b728ab3e273cd06c153323d675f2b5bc35e180a4a772149f
10,30,20,20,fe4a0df4f8269c52201fe93b2747e8af8abab717424ebc03c3a148f39d87
10,30,30,20,18fd8c6504661f72190c9ec2c01ba860d6855d1e43fb5893fc03859da2f3
10,30,30,20,0fef4a5958639e5b34c2c08e26e2fd864f7b78c3da0b72362aef36e39fe0
10,30,20,20,6ce93655426c43c9076be9ede599c98cbe8a18c29187c6caafa2c363f903
10,30,20,20,3e92f3fefc9c4eb3ef88bf91fcad1eabeb9b409cd411c13c40f5d722b509
10,30,30,20,2abbefe1c10b894427db2d648c0be220cd5a46d5b5b792228b96603bbdf8
10,30,30,20,dfc4ef8cf6e763c7df608d42d8ab6ccb00da1373ae95ae3ba884d06053b5
10,40,40,40,450d85af849e813425fc7a98d401e350caa3d24e435de984047a6f5c5c37
10,30,30,20,2ffb39da9af49cbfcdd90c455cd7384e58ead0b396824fb3b32cd3f4eaa0
10,40,40,40,60140487d7a6408ab9aadbe036270e1d3673d3f0f2e4893e04195179a027
10,30,30,20,d0058329e4e0b6515201619af3a961a96bd9cc350da5829098476ecf8345
10,40,40,40,ca54e42ab050f99f72d2f93def83d4d26623c0ccad77a7196a797c62ca52
10,40,30,20,236b300df63b2ba05f1aa1fd11e2c9f606912167207da632a34f99b28162
10,40,40,10,265eed723656140849dffde59d885cf1ae9b1d6ab7124a5cae17ff598b88
10,30,20,20,97f04df9d35535c81f73e6eaa97e06742cb68be408d0903044260fde29a7
10,20,20,20,f37afc9ab5e3a2df8c9eff5f1fb81d4f36ee18fb23c2f7bc2c26b9ce5fea
10,30,30,30,aebd76d1dc80170f037ca9ba8f9216bd5dd848a034140930b06f86340ec9
10,20,20,40,c855895bac5f86302628566dbd0471ba19d8a51d8a7cb1d5f212b94a0205
10,40,40,10,38edad53634fefe7d3421dcc71d102ae8cd927f8f18c45bbf4b2c83433cb
10,20,20,20,783578b1e94721553975069cb1dabd52b8c600ec620422d325cbd0228c09
10,40,40,10,ea63280d5210be15e7dd622471bf563a4c1579f5dd907a3b064179fe6174
10,40,40,30,1b05402b2c80ed8c373254479ba41be7db7561b1ffe867f38fa93ff05159
10,40,40,10,8784be256e6a91463794022b398140d3888a903971f04156a5821f6d29bc
10,40,40,30,cb89ca4742bbfa73d17c4d9071dab18bff619d859e2c4612f693a1d2c749
10,40,40,20,3e912e1b58daca3869ebd72016d43661a02a74bab2d540d1b2e105599633
10,40,40,40,5a83c803d44923a47bc50cb40dc506bd168f9fc83080316b72c1987537cc
10,40,40,10,b021a69e68f5c70e4eb0617b6a950af205ae900e08cd1739dfda276e6cbf
10,40,40,40,172404b45c0906d16379e0136d2d2b769be11779b8bf78989621dce20467
10,20,20,20,94570c8cf606f6cf167f933e9a558f8f95af38ab724958d1d51d2cf8c7c6
10,40,40,20,7ef5b9e4164bc2da8197cdd8bcf54d7c7c9bcd0ad5cf6bf490b5647db709
