,worker_name,machine,start_time,end_time,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu,job_name,task_name,inst_id,gpu_name,cpu_usage,gpu_wrk_util,avg_mem,max_mem,avg_gpu_wrk_mem,max_gpu_wrk_mem,read,write,read_count,write_count
1130924,0d16fd6fff4dd493f2ebb41a3c04f342c5751ab7b8317ede1924bda9d1bf,a8105b132e45f844f000e4c9,2134583,2135217,,,,,,,,,a86ee6017c37ec9cfbe5b9ed,worker,bcda345fbc9407131ecf78979f409132bb879ae414e0d8ea71d161d7fd05,/dev/nvidia3,520.8968253968254,12.13953488372093,4.5020904541015625,7.6611328125,1.574279312015504,2.3271484375,1362841847.7,5619100.969230769,16327.846153846154,8417.607692307693
1130925,8ba59a2852d80b5b5b18dabf3ec3277d38eb32202981e559b8861ea1d5af,a8105b132e45f844f000e4c9,2134874,2135733,,,,,,,,,fa461dbf00f3417d202e367d,worker,b2473f95ebdbae6f0e0ae628acc221b4aa0f13c96635f77d9c96918e9914,/dev/nvidia6,437.6198830409357,4.32183908045977,5.356016302384393,7.9697265625,1.7556068157327582,2.3271484375,1182565412.92,6009269.845714286,12267.137142857142,7494.657142857143
1132403,ce6d8d9d06e050988c524cc5714d17513f74393d7245ba99c27c71b33ffb,a8105b132e45f844f000e4c9,2132779,2133042,,,,,,,,,104236a23ce361e5d9b081a7,tensorflow,8f22203f02c92f2dd3b87fe4534af24a33a6c76550e38fa85021090c310d,/dev/nvidia3,95.65454545454546,0.0,1.5664585658482135,2.1337890625,0.0,0.0,481677003.05172414,14113516.74137931,17689.568965517243,198192.5344827585
1138347,71cddc3a242e2c6c5fbcf8af0c7023f533a3b05f3314f1a2cf927e5c3b03,851d52e9301aeafd051e2f2b,2132438,2132438,,,,,,,,,0d67d4469fc8eb8b009ab160,other,c50282609d9c31bcdce3c662ba01a235cf69d980dca9475f35741e574acb,/dev/nvidia6,48.33333333333334,0.0,0.0078125,0.0107421875,0.0,0.0,102666.0,104468.6,117.0,88.2
1138348,17cf4f081b0687f6672caef9acec471eca968a4cc78985790ef9694fe67b,851d52e9301aeafd051e2f2b,2132519,2132519,,,,,,,,,6823e5f9487992e1f25e6b9a,other,c5d8ac95ad8d598e659b6d7d238d1d1f6862aff13ab67e8e2b282b5150ae,/dev/nvidia7,47.0,0.0,0.00439453125,0.0048828125,0.0,0.0,128330.0,130735.0,146.25,110.75
1138349,8c9df7b1b84e0e57d04c5ab743deafc0c6a840a8bc7d92f8cde7d9ecf01b,851d52e9301aeafd051e2f2b,2132618,2132625,,,,,,,,,74936b262e956e363f840539,other,b111f715eea03b408423cf4df027de1777023f061d475f07ea25d4fa5872,/dev/nvidia7,65.66666666666667,0.0,0.02734375,0.072265625,0.0,0.0,143122.6,227255.4,307.0,103.8
1138350,df38d488320238fc62b2b7cea5f9d991bec1d955228db37cf813f82913aa,851d52e9301aeafd051e2f2b,2132668,2132668,,,,,,,,,a1e416ae488188be820a41bb,other,cca0b66f1eaaa6f856a2a0663e47129cf5aa9e4e8ec969a0df657b217af4,/dev/nvidia6,54.0,0.0,0.00341796875,0.00390625,0.0,0.0,129629.5,130107.0,149.25,106.75
1138351,87f90a9532fe0d2823972a64993a3f05e295d72c04027094d664565a34a2,851d52e9301aeafd051e2f2b,2132777,2132786,,,,,,,,,38e3e61d54562b343fdcfd44,other,66302c565f2c37de893a779388037c4b0f1c4f2827a4947f8297d8bf5895,/dev/nvidia6,62.33333333333334,0.0,0.0188802083333333,0.0498046875,0.0,0.0,137141.6,104657.2,290.6,92.0
1138352,f215c94f07d9054935e03c3e569c7e8c607b31b69ca717e9638d37620422,851d52e9301aeafd051e2f2b,2132818,2132826,,,,,,,,,3da7eaa090331b4cd113fc90,other,46c93f323c00e764dc8e201ded1387f600cc31ca627a131772e299d30526,/dev/nvidia7,49.5,0.0,0.0048828125,0.005859375,0.0,0.0,129632.0,130751.0,149.25,110.75
1138353,a203f6bbee152ff4b924c14f5ff291e1b1743b38bd9a8293e0c28bc9d5aa,851d52e9301aeafd051e2f2b,2132859,2132859,,,,,,,,,390f6d29a7c1afee25e58e13,other,5a7f69f522eefb7723895d116a45c16d95c0e8759ad077b0a43aa547fd16,/dev/nvidia6,55.5,0.0,0.00341796875,0.00390625,0.0,0.0,129628.5,130781.5,149.25,110.75
